,City,Cloudiness,Humidity,Latitude,Max Temperature,Wind Speed
0,Atuona,80,100,-9.8,79.52,5.31
1,Jiuquan,0,58,39.73,46.49,1.51
2,Talnakh,88,92,69.49,35.06,1.41
3,Kirov,32,96,58.6,40.730000000000004,5.26
4,Punta Arenas,0,80,-53.16,39.2,4.6
5,Bluff,0,51,-23.58,56.21,2.96
6,New Norfolk,20,87,-42.78,44.6,4.6
7,Port Blair,64,100,11.67,83.57,6.26
8,Ozernovskiy,76,86,51.5,43.25,5.21
9,Ushuaia,0,45,-54.81,44.6,2.6
10,Geraldton,20,38,49.72,62.6,8.2
11,Katsuura,0,77,33.93,68.0,1.5
12,Busselton,44,100,-33.64,52.34,4.36
13,Udachnyy,24,63,66.42,50.269999999999996,2.06
14,Khatanga,68,97,71.98,41.629999999999995,4.21
15,Kaitangata,8,78,-46.28,33.44,3.21
16,Kapaa,75,78,22.08,80.6,7.2
17,Sherwood,75,66,34.82,89.6,4.6
18,Aklavik,40,61,68.22,53.6,4.6
19,Opunake,88,100,-39.45,53.42,9.81
20,Hermanus,92,100,-34.42,50.18,1.06
21,Hithadhoo,92,100,-0.6,82.85,5.86
22,Dunedin,0,94,-45.87,28.94,1.86
23,Tasiilaq,56,95,65.61,33.8,4.6
24,Hobart,20,87,-42.88,44.6,4.6
25,Mount Isa,0,22,-20.73,66.2,4.1
26,Isla Vista,1,56,34.41,86.0,3.6
27,Faanui,0,100,-16.48,80.42,2.71
28,Tuktoyaktuk,75,86,69.44,44.6,5.7
29,Blankenberge,0,87,51.31,55.400000000000006,3.1
30,Te Anau,0,88,-45.41,36.68,0.96
31,Butaritari,92,100,3.07,79.97,3.76
32,Albany,40,53,42.65,75.2,6.2
33,Cuamba,0,99,-14.8,53.51,2.56
34,Vaini,88,94,15.34,74.57,2.06
35,Reconquista,0,90,-29.14,47.120000000000005,4.91
36,Porto Novo,0,68,-23.68,68.0,1.0
37,Nelson Bay,75,87,-32.72,59.0,3.6
38,Port Alfred,0,94,-33.59,60.8,4.31
39,Gewane,76,93,10.16,69.89,2.76
40,Turukhansk,92,74,65.8,44.6,7.96
41,Namibe,0,100,-15.19,71.42,4.91
42,Los Llanos de Aridane,0,72,28.66,66.2,8.2
43,San Cristobal,40,76,-0.39,57.2,7.2
44,Aqtobe,0,52,50.28,44.6,9.0
45,Manicore,20,85,-5.81,78.71000000000001,0.91
46,Puerto Ayora,20,65,-0.74,80.6,2.6
47,Aguilas,0,100,37.41,58.19,1.81
48,Codrington,80,91,-28.95,61.43000000000001,2.31
49,Cape Town,75,93,-33.93,53.6,1.5
50,Qaanaaq,56,100,77.48,28.22,1.21
51,Yellowknife,40,32,62.45,66.2,1.0
52,Cap-aux-Meules,90,93,47.38,41.0,13.9
53,San Quintin,75,88,17.54,82.4,1.0
54,Dingle,68,98,11.0,78.89,2.01
55,Palana,8,73,59.08,45.59,1.61
56,Torbay,90,100,47.66,37.4,5.1
57,East London,0,100,-33.02,69.35,1.76
58,Nikolskoye,0,72,59.7,59.0,4.0
59,Ahipara,92,100,-35.17,58.730000000000004,4.11
60,Chuy,100,99,-33.69,53.870000000000005,9.16
61,Knysna,92,100,-34.04,57.650000000000006,7.96
62,Mitsamiouli,8,100,-11.38,77.53999999999999,4.26
63,Carauari,48,99,-4.88,72.59,0.61
64,Bethel,1,34,60.79,66.2,8.2
65,Clearlake,1,16,38.96,96.8,3.6
66,Paungde,92,99,18.49,75.56,3.16
67,Rikitea,20,100,-23.12,77.45,9.96
68,Strezhevoy,90,93,60.73,41.0,6.0
69,Itarema,48,85,-2.92,79.07,5.06
70,Great Falls,1,27,47.5,73.4,7.2
71,Vila Velha,0,83,-3.71,80.6,2.1
72,Souillac,0,82,45.6,64.4,1.5
73,Roald,0,100,62.58,53.6,6.7
74,Yatou,75,100,3.63,78.80000000000001,1.0
75,Brae,88,100,60.4,51.8,1.0
76,Panguna,24,83,-6.32,82.85,1.51
77,Kruisfontein,36,97,-34.0,60.35,8.26
78,Kavaratti,88,100,10.57,79.25,8.86
79,Chokurdakh,76,100,70.62,32.36,7.81
80,Sinnamary,92,99,5.38,79.61,4.66
81,Wakkanai,75,82,45.41,60.8,12.3
82,Manokwari,36,100,-0.87,79.97,0.46
83,Jamestown,0,54,-33.21,46.58,1.31
84,Saint-Philippe,1,34,45.36,71.6,3.1
85,Hualmay,12,88,-11.1,62.150000000000006,1.46
86,Dicabisagan,24,94,17.08,84.11,0.91
87,Yugo-Kamskiy,90,93,57.7,41.0,2.0
88,Seoul,75,73,37.57,71.6,1.56
89,Kokkola,0,76,63.84,48.2,2.6
90,Adrar,24,9,27.87,87.80000000000001,4.6
91,Northam,0,93,51.04,57.2,0.5
92,Ostuacan,36,82,17.42,75.92,0.41
93,Arraial do Cabo,8,92,-22.97,72.32,4.41
94,Tiksi,36,94,71.64,32.9,1.66
95,Khani,40,72,41.96,62.6,5.7
96,Lima,36,69,-12.06,59.72,0.56
97,Vardo,90,94,39.62,75.2,1.5
98,Leningradskiy,80,92,69.38,34.34,5.51
99,Dikson,64,98,73.51,29.93,8.81
100,Sao Joao da Barra,0,88,-21.64,71.6,2.6
101,Suksun,92,99,57.15,40.370000000000005,1.46
102,Gariadhar,0,90,21.54,79.52,3.46
103,Narsaq,90,93,60.91,42.8,1.0
104,Teguise,20,68,29.06,64.4,7.7
105,Bredasdorp,92,87,-34.53,53.6,2.6
106,Pandan,68,100,11.72,83.39,3.51
107,Glens Falls,1,52,43.31,71.6,5.7
108,Provideniya,92,91,64.42,33.89,10.96
109,Kodiak,1,47,39.95,78.80000000000001,9.3
110,Zarubino,0,68,42.65,65.39,0.76
111,Tiznit,0,86,29.7,61.88,2.61
112,Zheleznodorozhnyy,0,66,55.75,57.2,3.0
113,Port Elizabeth,90,88,39.31,77.0,2.51
114,Samarai,92,100,-10.62,78.17,7.51
115,Mataura,0,75,-46.19,36.86,2.11
116,Kapuskasing,75,41,49.42,60.8,3.6
117,Castro,0,100,-42.48,31.64,1.41
118,Victoria Point,20,49,-27.58,71.6,6.2
119,Bashtanka,0,63,47.4,53.6,1.66
120,Kondoa,88,93,-4.91,62.6,1.41
121,Labuhan,76,90,-2.54,75.2,1.26
122,Kilindoni,0,96,-7.91,80.24000000000001,7.81
123,Clyde River,90,92,70.47,30.2,6.2
124,Norman Wells,75,37,65.28,69.80000000000001,4.6
125,Bambous Virieux,40,73,-20.34,73.4,4.6
126,Barrow,92,81,-38.31,47.120000000000005,2.01
127,Aluksne,0,66,57.42,57.019999999999996,3.56
128,Zyryanka,88,66,65.73,37.4,4.36
129,La Asuncion,68,98,-1.64,48.650000000000006,0.71
130,Tendukheda,0,73,23.4,73.22,1.26
131,Luanda,20,88,-8.83,73.4,2.1
132,Poum,8,97,41.28,52.790000000000006,0.81
133,Mar del Plata,0,100,-46.43,23.72,1.66
134,Ilulissat,0,98,69.22,32.0,1.61
135,Naze,40,100,5.43,75.2,2.61
136,Chenghai,75,78,23.46,78.80000000000001,3.0
137,Fairbanks,1,30,64.84,68.0,1.91
138,Dryden,90,87,49.79,55.400000000000006,3.1
139,Minas,75,76,-34.38,53.6,8.2
140,Vila Franca do Campo,20,77,37.72,64.4,3.6
141,Matara,76,58,-13.74,45.41,0.86
142,Flinders,90,76,-34.58,57.2,6.7
143,Varhaug,40,93,58.61,62.6,2.6
144,Severo-Kurilsk,92,87,50.68,42.89,4.06
145,Biltine,0,22,14.53,77.9,4.71
146,Floro,0,87,61.6,57.2,0.5
147,Sangar,0,51,63.92,51.8,1.46
148,Kloulklubed,90,79,7.04,84.2,2.6
149,Pacific Grove,1,56,36.62,87.80000000000001,3.1
150,Vilhena,90,93,-12.74,64.4,5.7
151,Cayenne,75,100,4.94,77.0,2.6
152,Lompoc,1,30,34.64,86.0,5.1
153,Kyshtovka,20,75,56.56,45.41,8.36
154,Papetoai,75,74,-17.5,80.6,8.7
155,Avarua,75,60,-21.21,75.2,6.2
156,Kargasok,76,82,59.06,62.6,4.11
157,Olga,1,34,34.11,96.8,5.1
158,Cajnice,0,100,43.56,60.8,2.6
159,Luderitz,0,89,-26.65,54.32,6.26
160,Thompson,90,100,55.74,41.0,3.1
161,Mildura,8,87,-34.18,46.4,2.31
162,Callaguip,75,88,18.07,82.4,1.0
163,Buala,44,81,-8.15,86.09,1.46
164,Melur,40,83,10.03,78.80000000000001,2.6
165,Georgetown,0,94,6.8,77.0,3.1
166,Skoropuskovskiy,0,76,56.37,53.6,3.0
167,Alyangula,0,89,-13.85,78.17,6.91
168,Marzuq,24,85,14.4,64.22,1.01
169,Tuatapere,64,100,-46.13,44.33,2.11
170,Fortuna,75,88,38.18,68.0,5.7
171,Vila,0,77,45.18,66.2,3.6
172,Warmbad,20,93,50.67,60.8,1.0
173,Esperance,20,78,10.24,80.6,5.7
174,Caxito,8,88,-22.65,66.11,2.21
175,Gizo,20,78,31.8,71.6,2.6
176,Kropotkin,0,46,45.43,51.89,3.46
177,Egvekinot,92,99,66.32,34.34,2.66
178,Lavrentiya,80,91,65.58,33.89,6.21
